state,season,crop_name,sub_region,sow_start_month,sow_end_month,harvest_month_range,seed_rate_kg_ha,row_spacing_cm,plant_spacing_cm,nursery_days,duration_days,notes
Andaman and Nicobar Islands,kharif,Rice,,,,,,20,20,,,Spacing 20x20 cm in ICM and 25x25 cm for SRI methods; soak seeds 12-24 hours; root dipping with Jeevamrit before transplanting
Andaman and Nicobar Islands,kharif,Coconut,,,,,,750,750,,,Plant 12 month-old seedlings in 1 m³ pits enriched with organic matter
Andaman and Nicobar Islands,kharif,Arecanut,,,,,,,,,,Use 12-18 month-old seedlings with five or more leaves; remove dried leaves regularly; intercropping encouraged
Andaman and Nicobar Islands,kharif,Black Pepper,,,,,,,,,,"Apply 10 kg FYM, 500 g neem cake, 500 g wood ash, 2 kg vermicompost per vine annually; use biofertilizers 20 g each per vine; biocontrol with Trichoderma and P. fluorescens"
Andaman and Nicobar Islands,kharif,Sweet Potato,,,,,,,,,,"Use raised beds or ridges; varieties: CIARI Swarna, CIARI Aparna, Bhu Sona; install pheromone traps (1 trap/100 m²); compost and biofertilizers recommended"
Andaman and Nicobar Islands,kharif,Cassava,,,,,,,,,,Varieties: Sree Vijaya and Sree Jaya
Andaman and Nicobar Islands,kharif,Elephant Foot Yam,,,,,,40,40,,,Variety Gajendra for elephant foot yam; apply compost 20-25 t/ha; use Trichoderma for seed treatment
Andaman and Nicobar Islands,kharif,Taro,,,,,,,,,,"Varieties: Mega Taro-2, Sree Kiran, Sree Pallavi, Sree Rashmi; treat seed rhizomes with Trichoderma harzianum"
Andaman and Nicobar Islands,kharif,Dioscorea,,,,,,,,,,Variety Nicobari Alu (Traditional Variety)
Andaman and Nicobar Islands,kharif,Cinnamon,,,,,2000,40,40,,,Use healthy rhizomes; apply compost 20-25 t/ha; mulch with dry leaves; irrigate during dry spells; avoid waterlogging; seed treatment with Trichoderma
Andaman and Nicobar Islands,kharif,Turmeric,,7,7,,,,,,,Six months old seedlings transferred to polythene bags at 15 cm height; apply FYM 10 kg/plant/year; mulch with leaves
Andaman and Nicobar Islands,kharif,Ginger,,7,7,,,,,,,Six months old seedlings transferred to polythene bags at 15 cm height; apply FYM 10 kg/plant/year; mulch with leaves
Andhra Pradesh,kharif,paddy,Godavari Zone,6,7,[9],,,,,,Late nursery transplanting recommended for various HYV varieties
Andhra Pradesh,kharif,paddy,North Coastal Zone,6,7,[9],,,,,,"Varieties like Pushkala, Srisatya, Cotton Dora Sannalu recommended"
Andhra Pradesh,kharif,maize,,6,7,,17.5,,,,,Sowing after more than 50 mm rainfall under rainfed conditions
Andhra Pradesh,kharif,groundnut,,7,8,,,,,,,Intercropping with redgram recommended at 7:1/11:1/15:1 ratios
Arunachal Pradesh,kharif,Rice,,6,7,,,20,15,,,"Transplanting completed by June in mid and high altitude and by first fortnight of July in low altitude; 3 seedlings per hill; 33 hills/m² for semi-dwarf, 25 hills/m² for tall traditional"
Arunachal Pradesh,kharif,Finger millet,,,,,4.5,25,9,,,"Sowing depth 2-3 cm; 4-5 kg/ha for transplanting, 10-15 kg/ha for broadcasting"
Arunachal Pradesh,kharif,Maize,,,,,20.25,65,22.5,,,Seeds dibbled at 3-4 cm depth; plant spacing 65-75×20-25 cm
Arunachal Pradesh,kharif,Pumpkin,,9,10,,1.7,275,95,,,"Sowing also from January to April for summer harvest; spacing spring 2.5-3.0 m x 0.9-1.0 m, summer 2.5-3.0 m x 1.0-1.5 m"
Arunachal Pradesh,kharif,Black gram,,,,,22.5,30,10,,,Sow seeds by keeping spacing of 30 × 10 cm; land ploughed 2-3 times followed by leveling
Arunachal Pradesh,kharif,Sesame,,,,,4,30,15,,,Line sowing with spacing 30x15 cm
Arunachal Pradesh,kharif,Tomato,,,,,,,,,,Seed rate 200-250 g/acre; disease resistant varieties; seed treatment with Trichoderma viride
Arunachal Pradesh,kharif,Brinjal,,,,,0.75,75,60,,,Long and round varieties; seed rate 700-800 g/ha
Assam,kharif,brinjal,,,,,0.75,75,60,,,"Grow long varieties such as Pusa Purple Cluster, Borbengena, JC-1, Kuchia, BWR-34 and round varieties Pusa Purple Round, Pusa Vairab, BWR-12."
Assam,kharif,sali rice,,,,,40,20,15,,,"25 days old seedlings for short and medium duration varieties, transplant spacing 20 cm x 15 cm. For long duration varieties, 35-40 days old seedlings, spacing 25 cm x 15 cm. Plant 2-3 seedlings per hill at 4-5 cm depth."
