crop_id,crop_name,category,seasons_supported,water_need,labour_need,risk_level,time_to_first_income_months_min,time_to_first_income_months_max,profit_potential,perishability,storage_need,climate_tags,notes
FR_MANGO,Mango,FRUIT_ORCHARD,PERENNIAL,MED,MED,MED,24,48,HIGH,MED,YES,"tropical,subtropical","Traditional + high-density options; long horizon."
FR_GUAVA,Guava,FRUIT_ORCHARD,PERENNIAL,MED,MED,MED,12,24,HIGH,HIGH,YES,"tropical,subtropical","Earlier bearing than mango."
FR_POMEGRANATE,Pomegranate,FRUIT_ORCHARD,PERENNIAL,LOW,MED,MED,12,24,HIGH,MED,YES,"semi-arid,drought_tolerant","Suitable under limited water with drip; pruning skill needed."
FR_LEMON,Lemon,FRUIT_ORCHARD,PERENNIAL,MED,MED,MED,18,30,MED,LOW,YES,"tropical,subtropical","Steady-demand citrus; manageable orchard."
FR_ACID_LIME,Acid Lime,FRUIT_ORCHARD,PERENNIAL,MED,MED,MED,18,30,MED,LOW,YES,"tropical,subtropical","Often closer planting than lemon in some systems."
FR_DRAGONFRUIT,Dragon Fruit,FRUIT_ORCHARD,PERENNIAL,LOW,MED,HIGH,12,18,HIGH,MED,YES,"warm,drought_tolerant,trellis_needed","High value; needs pillars/trellis + training."
FR_BANANA,Banana,FRUIT_FIELD,YEAR_ROUND,HIGH,HIGH,MED,9,12,HIGH,HIGH,YES,"tropical,wind_sensitive","Fast returns but water + labour intensive."
FR_PAPAYA,Papaya,FRUIT_FIELD,YEAR_ROUND,MED,MED,HIGH,8,12,HIGH,HIGH,YES,"tropical,frost_sensitive","Quick fruiting but higher disease/management risk."
FR_AMLA,Amla (Indian Gooseberry),FRUIT_ORCHARD,PERENNIAL,LOW,LOW,LOW,24,36,MED,LOW,YES,"drought_tolerant,semi-arid","Hardy orchard; low water; slower returns."
FR_BER,Ber (Indian Jujube),FRUIT_ORCHARD,PERENNIAL,LOW,LOW,LOW,24,36,MED,LOW,YES,"drought_tolerant,arid","Very hardy; suitable in dry areas; low inputs."
FR_LITCHI,Litchi,FRUIT_ORCHARD,PERENNIAL,HIGH,MED,HIGH,36,60,HIGH,HIGH,NO,"humid_subtropical,frost_sensitive","High value but climate-sensitive; needs assured irrigation + management."
FR_GRAPES,Grapes,FRUIT_ORCHARD,PERENNIAL,MED,HIGH,HIGH,18,30,HIGH,HIGH,NO,"semi-arid,trellis_needed","High value; disease/market risk; needs trellis + skilled management."
FR_JAMUN,Jamun,FRUIT_ORCHARD,PERENNIAL,LOW,LOW,LOW,36,60,MED,LOW,YES,"subtropical,hardy","Low-input perennial; niche market; long horizon."
FR_COCONUT,Coconut,FRUIT_ORCHARD,PERENNIAL,HIGH,MED,MED,48,72,HIGH,LOW,YES,"coastal,humid","Only for coastal/humid belts; long-term plantation."
FR_APPLE,Apple,FRUIT_ORCHARD,PERENNIAL,MED,HIGH,HIGH,48,72,HIGH,MED,YES,"temperate,hill_region","Only in temperate/hill belts; high capex + high skill."

CE_WHEAT,Wheat,CEREAL,RABI,MED,LOW,LOW,4,5,MED,LOW,YES,"cool_season","Stable rabi crop."
CE_MAIZE,Maize,CEREAL,"KHARIF,RABI",MED,LOW,LOW,3,4,MED,LOW,YES,"versatile","Flexible seasons; stable."
CE_RICE,Rice (Paddy),CEREAL,KHARIF,HIGH,MED,MED,4,5,MED,LOW,YES,"water_intensive","Avoid if water availability is LOW."
CE_BARLEY,Barley,CEREAL,RABI,LOW,LOW,LOW,4,5,LOW,LOW,YES,"cool_season","Hardy rabi cereal; low input."
CE_SORGHUM_FODDER,Sorghum (Fodder),FODDER,"KHARIF,RABI",LOW,LOW,LOW,2,3,LOW,LOW,YES,"drought_tolerant","Useful for livestock integration; quick biomass."

MI_BAJRA,Bajra (Pearl millet),MILLET,KHARIF,LOW,LOW,LOW,3,4,LOW,LOW,YES,"drought_tolerant","Very low water; stable under stress."
MI_JOWAR,Jowar (Sorghum),MILLET,"KHARIF,RABI",LOW,LOW,LOW,3,4,LOW,LOW,YES,"drought_tolerant","Good for low water; fodder value too."
MI_RAGI,Ragi (Finger millet),MILLET,KHARIF,LOW,LOW,LOW,3,4,MED,LOW,YES,"drought_tolerant","Good nutrition demand; stable in dry belts."

PU_CHICKPEA,Chickpea (Gram),PULSE,RABI,LOW,LOW,LOW,3,4,MED,LOW,YES,"drought_tolerant","Soil nitrogen benefit; low water."
PU_PIGEONPEA,Arhar/Tur (Pigeonpea),PULSE,KHARIF,LOW,LOW,MED,5,6,MED,LOW,YES,"drought_tolerant,long_duration","Long duration; good rotation; moderate risk."
PU_LENTIL,Lentil (Masoor),PULSE,RABI,LOW,LOW,LOW,3,4,MED,LOW,YES,"cool_season","Good low-water rabi pulse."
PU_PEA_DRY,Field Pea (Dry),PULSE,RABI,LOW,LOW,LOW,3,4,MED,LOW,YES,"cool_season","Dry pea for grain; stable."
