state,season,crop_name,sub_region,sow_start_month,sow_end_month,harvest_month_range,seed_rate_kg_ha,row_spacing_cm,plant_spacing_cm,nursery_days,duration_days,notes
Punjab,rabi,wheat,,10,11,"[3, 4]",111.33,17.5,,,,Optimum sowing time first fortnight of November; long duration varieties from fourth week of October; seed rate 45 kg/acre except Unnat PBW 550 which is 40 kg/acre; seed treatment recommended for termite and smut; various sowing methods including zero tillage and raised bed; irrigation timing varies with soil texture; use of happy seeder requires 5-10 kg more seed.
Punjab,rabi,rapeseed and mustard,,9,11,,3.71,30,,,,"Different sowing times for Toria (September), Gobhi Sarson (Oct-Nov), Raya and African Sarson (Oct-Nov), Taramira (October); seed rate 1.5 kg/acre; Gobhi Sarson can be transplanted; nursery raising for gobhi sarson and African sarson; bed planting possible for Gobhi Sarson; hoeing recommended for weed control."
Punjab,rabi,sugarcane,,2,3,,,75,,,,"Early maturing and mid-late maturing varieties; seed rate about 30-35 quintal/acre; seed treatment soaking setts in ethrel solution; planting methods include trench, paired row trench and FIRB; intercropping with summer moong/mash possible; irrigation critical Apr-Jun at 7-12 days interval."
Punjab,rabi,berseem,,9,10,,8.89,,,,,Best sowing last week September to first week October; broadcast seed in standing water; inoculation with Rhizobium recommended; manganese deficiency spray recommended; weed control by mixing with raya; irrigation interval varies with soil type; first cutting 50 days after sowing then every 30-40 days total 4-6 cuttings.
Punjab,rabi,pea,,10,11,,100.12,30,7.5,,,Early maturing varieties sown mid-Oct to mid-Nov; spacing 30x7.5 cm for early and 30x10 cm for main season; seed rate 45 kg/acre early and 30 kg/acre main season; inoculate with Rhizobium; weed control with pendimethalin herbicide within 2 days of sowing.
Punjab,rabi,potato,,9,1,,,65,18.5,,,"Early sowing last week September to mid-October; spring sowing second half January; seed tubers 40-50 g used at 13-18 q/acre; dormancy breaking treatment suggested; mechanized planting spacing 65x18.5 cm or 75x15 cm; fertilizer includes 20 t FYM, 75 kg N, 25 kg P2O5, 25 kg K2O per acre; earthing-up after 25-30 days; weed control includes paddy straw mulch and metribuzin herbicide as pre-emergence."
Punjab,rabi,chilli,,10,11,,0.49,75,45,,,"Seed sown in nursery Oct end to mid-Nov; transplanting Feb to March; nursery size one marla per acre; polyhouse nursery recommended; fertilizer includes 25 kg N, 12 kg P2O5, 12 kg K2O per acre; 30 kg N per acre for hybrid chilli; growth regulator spray of NAA after 45 and 55 days for flower retention."
Punjab,rabi,cauliflower,,6,11,,,45,,,,"Early transplant June-July, main Aug-mid Sept, late Oct-Nov; seed rate 250 g/acre main/late, 500 g/acre early; fertilizer 40 t FYM, 50 kg N, 25 kg P2O5, 25 kg K2O per acre; irrigation after transplant then every 7-8 days summer, 10-15 days winter; 8-12 irrigations per crop."
Ladakh,rabi,Chinese cabbage,,9,9,,,30,30,,,Nursery should be sown in first fortnight of September; transplant spacing 30x30 cm
Ladakh,rabi,Cabbage,,9,9,10,,45,30,,,Nursery should be sown in first fortnight of September; spacing 45x30 cm; complete by first fortnight of October
