scheme_id,scheme_name,state,ministry,practice_tags,crop_tags,category_tags,eligibility_summary,subsidy_pct,max_subsidy_inr,application_url,source_url,last_updated,max_land_acres,farmer_type_tags,gender_bonus_pct,season_window,scheme_type
PM_KISAN,PM Kisan Samman Nidhi,ALL,Agriculture,OPEN_FIELD;RAINFED;OPEN_FIELD_VEG;ORCHARD;IFS,ALL,GENERAL;SC;ST;OBC,All land-holding farmer families get Rs 6000/year in 3 installments. Must have Aadhaar-linked bank account.,0,6000,https://pmkisan.gov.in,https://pmkisan.gov.in,2025-01,,ALL,,,INCOME_SUPPORT
PMFBY,Pradhan Mantri Fasal Bima Yojana,ALL,Agriculture,OPEN_FIELD;RAINFED;OPEN_FIELD_VEG,CEREAL;PULSE;OILSEED;COMMERCIAL,GENERAL;SC;ST;OBC,Crop insurance at subsidized premium (2% kharif / 1.5% rabi / 5% commercial). Covers yield loss from natural calamities.,0,0,https://pmfby.gov.in,https://pmfby.gov.in,2025-01,,ALL,,KHARIF;RABI,INSURANCE
MIDH,Mission for Integrated Development of Horticulture,ALL,Agriculture,OPEN_FIELD_VEG;ORCHARD;POLYHOUSE;NET_HOUSE;DRIP_INTENSIVE;FLORICULTURE,FRUIT_ORCHARD;VEGETABLE;SPICE;FLOWER;FRUIT_FIELD,GENERAL;SC;ST;OBC,Subsidy for area expansion of fruits vegetables spices flowers. 40% cost for general and 50% for SC/ST. Covers planting material and inputs.,40,40000,https://midh.gov.in,https://midh.gov.in,2025-01,,ALL,10,,SUBSIDY
PMKSY,Pradhan Mantri Krishi Sinchayee Yojana,ALL,Agriculture;Water Resources,DRIP_INTENSIVE;DRIP_MULCH,ALL,GENERAL;SC;ST;OBC,55% subsidy on drip/sprinkler for general farmers and 70% for small/marginal/SC/ST. Per Drop More Crop component.,55,0,https://pmksy.gov.in,https://pmksy.gov.in,2025-01,,ALL,15,,SUBSIDY
NHM,National Horticulture Mission,ALL,Agriculture,OPEN_FIELD_VEG;ORCHARD;ORCHARD_INTERCROP;POLYHOUSE;NET_HOUSE;FLORICULTURE,FRUIT_ORCHARD;VEGETABLE;SPICE;FLOWER;FRUIT_FIELD,GENERAL;SC;ST;OBC,Covers nursery development protected cultivation organic farming post-harvest management. 50% subsidy on infrastructure cost.,50,0,https://nhm.nic.in,https://nhm.nic.in,2025-01,,ALL,,,SUBSIDY
RKVY,Rashtriya Krishi Vikas Yojana,ALL,Agriculture,OPEN_FIELD;OPEN_FIELD_VEG;ORCHARD;IFS;RAINFED,ALL,GENERAL;SC;ST;OBC,Flexible state-level schemes for agricultural development. Includes infrastructure post-harvest and value addition. Apply through state agriculture department.,0,0,https://rkvy.nic.in,https://rkvy.nic.in,2025-01,,ALL,,,INFRASTRUCTURE
SMAM,Sub-Mission on Agricultural Mechanization,ALL,Agriculture,OPEN_FIELD;OPEN_FIELD_VEG;RAINFED,ALL,GENERAL;SC;ST;OBC,40-50% subsidy on purchase of farm machinery and equipment. Custom hiring centres and farm machinery banks. 50% for SC/ST/women/small farmers.,50,0,https://agrimachinery.nic.in,https://agrimachinery.nic.in,2025-01,,ALL,10,,SUBSIDY
PKVY,Paramparagat Krishi Vikas Yojana,ALL,Agriculture,OPEN_FIELD;OPEN_FIELD_VEG;RAINFED;IFS,ALL,GENERAL;SC;ST;OBC,Rs 50000/acre over 3 years for organic farming adoption. Cluster-based approach (50+ farmers). Certification and marketing support included.,0,50000,https://pgsindia-ncof.gov.in,https://pgsindia-ncof.gov.in,2025-01,,ALL,,,SUBSIDY
NFSM,National Food Security Mission,ALL,Agriculture,OPEN_FIELD;RAINFED,CEREAL;PULSE;OILSEED;MILLET,GENERAL;SC;ST;OBC,Subsidized seed and inputs for rice wheat pulses coarse cereals. Demonstration plots and training. District-specific crop allocation.,0,0,https://nfsm.gov.in,https://nfsm.gov.in,2025-01,,ALL,,KHARIF;RABI,SUBSIDY
KCC,Kisan Credit Card,ALL,Finance,OPEN_FIELD;OPEN_FIELD_VEG;ORCHARD;RAINFED;IFS,ALL,GENERAL;SC;ST;OBC,Short-term crop loan at 4% interest (with prompt repayment). Covers cultivation and post-harvest needs. Up to Rs 3 lakh at subsidized rate.,0,300000,https://pmkisan.gov.in/KCC,https://www.rbi.org.in,2025-01,,ALL,,,CREDIT
NMSA,National Mission for Sustainable Agriculture,ALL,Agriculture,RAINFED;DRIP_INTENSIVE;DRIP_MULCH;IFS,ALL,GENERAL;SC;ST;OBC,Promotes rainfed area development soil health management and water use efficiency. 50% subsidy on micro-irrigation and soil health cards.,50,0,https://nmsa.dac.gov.in,https://nmsa.dac.gov.in,2025-01,,ALL,,,SUBSIDY
ATMA,Agricultural Technology Management Agency,ALL,Agriculture,OPEN_FIELD;OPEN_FIELD_VEG;ORCHARD;RAINFED;IFS,ALL,GENERAL;SC;ST;OBC,Extension services training and capacity building at district level. Farm schools and demonstration plots for technology transfer.,0,0,https://extensionreforms.dacnet.nic.in,https://extensionreforms.dacnet.nic.in,2025-01,,ALL,,,INFRASTRUCTURE
MN_POLY,State Polyhouse/Shade-net Subsidy,ALL,Agriculture,POLYHOUSE;NET_HOUSE,PROTECTED_VEG;PROTECTED_FLOWER;VEGETABLE;FLOWER,GENERAL;SC;ST;OBC,50% subsidy on polyhouse/shade-net construction cost up to 4000 sq m. Higher for hilly areas and NE states. Through NHM/MIDH.,50,4700000,https://midh.gov.in,https://midh.gov.in,2025-01,,ALL,,,SUBSIDY
MN_DRIP,State Micro-Irrigation Subsidy,ALL,Agriculture;Water Resources,DRIP_INTENSIVE;DRIP_MULCH,ALL,GENERAL;SC;ST;OBC,55% subsidy for general and 70% for small/marginal farmers on drip and sprinkler systems. Through PMKSY-PDMC component.,55,0,https://pmksy.gov.in,https://pmksy.gov.in,2025-01,,ALL,15,,SUBSIDY
NMOOP,National Mission on Oilseeds and Oil Palm,ALL,Agriculture,OPEN_FIELD;RAINFED;ORCHARD,OILSEED,GENERAL;SC;ST;OBC,Subsidized seed kits and production inputs for oilseed crops. Oil palm area expansion incentive Rs 29000/ha. Technology demonstrations.,0,29000,https://nmoop.gov.in,https://nmoop.gov.in,2025-01,,ALL,,,SUBSIDY
MOVCDNER,Mission Organic Value Chain Development NER,Arunachal Pradesh;Assam;Manipur;Meghalaya;Mizoram;Nagaland;Sikkim;Tripura,Agriculture,OPEN_FIELD;OPEN_FIELD_VEG;ORCHARD;IFS,ALL,GENERAL;SC;ST;OBC,Rs 46000/ha for 3 years for FPO-based organic farming in NE states. Covers certification inputs and market linkage.,0,46000,https://movcdner.gov.in,https://movcdner.gov.in,2025-01,,ALL,,,SUBSIDY
NMAET,National Mission on Agricultural Extension and Technology,ALL,Agriculture,OPEN_FIELD;OPEN_FIELD_VEG;ORCHARD;RAINFED;IFS,ALL,GENERAL;SC;ST;OBC,Integrated extension framework with ATMA SMAM and sub-missions. Training demos and ICT-based advisory. District level implementation.,0,0,https://extensionreforms.dacnet.nic.in,https://extensionreforms.dacnet.nic.in,2025-01,,ALL,,,INFRASTRUCTURE
PM_AASHA,PM Annadata Aay Sanrakshan Abhiyan,ALL,Agriculture,OPEN_FIELD;RAINFED,PULSE;OILSEED,GENERAL;SC;ST;OBC,Price support for pulses and oilseeds through PSS (procurement at MSP) and DPPF (price deficiency payment). Activated when market price falls below MSP.,0,0,https://farmer.gov.in,https://farmer.gov.in,2025-01,,ALL,,KHARIF;RABI,MARKET
AIF,Agriculture Infrastructure Fund,ALL,Agriculture,OPEN_FIELD;OPEN_FIELD_VEG;ORCHARD;POLYHOUSE;NET_HOUSE;IFS,ALL,GENERAL;SC;ST;OBC,Rs 1 lakh crore fund for post-harvest management infrastructure. 3% interest subvention on loans up to Rs 2 crore. Covers warehouse cold storage sorting grading and processing units.,0,200000,https://agriinfra.dac.gov.in,https://agriinfra.dac.gov.in,2025-01,,ALL,,,INFRASTRUCTURE
PM_KUSUM,PM Kusum Solar Pump Scheme,ALL,MNRE;Agriculture,DRIP_INTENSIVE;OPEN_FIELD;OPEN_FIELD_VEG;ORCHARD,ALL,GENERAL;SC;ST;OBC,60% subsidy on solar pumps (30% central + 30% state). Component A: solar power plants on barren land. Component B: standalone solar pumps. Component C: solarisation of existing pumps.,60,0,https://pmkusum.mnre.gov.in,https://mnre.gov.in/solar/schemes,2025-01,,ALL,,,SUBSIDY
ENAM,e-National Agriculture Market,ALL,Agriculture,OPEN_FIELD;OPEN_FIELD_VEG;ORCHARD;RAINFED,ALL,GENERAL;SC;ST;OBC,Online trading platform linking 1361+ mandis across states. Enables transparent price discovery and inter-state trade. No direct subsidy but reduces middlemen.,0,0,https://enam.gov.in,https://enam.gov.in,2025-01,,ALL,,,MARKET
NABARD_DAIRY,NABARD Dairy Entrepreneurship Development Scheme,ALL,Animal Husbandry;NABARD,DAIRY_FODDER;INTEGRATED;IFS,ALL,GENERAL;SC;ST;OBC,25-33% subsidy on dairy infrastructure through NABARD refinancing. Covers dairy units milk processing and fodder equipment. SC/ST get higher subsidy.,33,0,https://www.nabard.org,https://www.nabard.org/content1.aspx?id=591,2025-01,,ALL,8,,SUBSIDY
FPO_SCHEME,Formation and Promotion of 10000 FPOs,ALL,Agriculture,OPEN_FIELD;OPEN_FIELD_VEG;ORCHARD;RAINFED;IFS,ALL,GENERAL;SC;ST;OBC,Rs 18 lakh per FPO for formation and capacity building over 5 years. Equity grant of Rs 2000 per member (max Rs 15 lakh). Credit guarantee for collateral-free loans up to Rs 2 crore.,0,1800000,https://enam.gov.in/web/FPOs,https://pib.gov.in/FPO,2025-01,,FPO,,,INFRASTRUCTURE
APEDA_EXPORT,APEDA Export Promotion Scheme,ALL,Commerce,OPEN_FIELD_VEG;ORCHARD;POLYHOUSE;NET_HOUSE,FRUIT_ORCHARD;VEGETABLE;SPICE;FLOWER;FRUIT_FIELD,GENERAL;SC;ST;OBC,Financial assistance for export-oriented horticulture. Covers infrastructure quality improvement packing and market development. Supports GlobalGAP and organic certification.,0,0,https://apeda.gov.in,https://apeda.gov.in/apedawebsite/SubHead_Products/Fruits_Vegetables.htm,2025-01,,ALL,,,MARKET
SHC,Soil Health Card Scheme,ALL,Agriculture,OPEN_FIELD;RAINFED;OPEN_FIELD_VEG;ORCHARD;IFS,ALL,GENERAL;SC;ST;OBC,Free soil testing with detailed nutrient analysis and fertilizer recommendation. Every farmer gets soil health card every 2 years. Improves input efficiency.,0,190,https://soilhealth.dac.gov.in,https://soilhealth.dac.gov.in,2025-01,,ALL,,,INFRASTRUCTURE
DAM,Digital Agriculture Mission,ALL,Agriculture,OPEN_FIELD;OPEN_FIELD_VEG;POLYHOUSE;NET_HOUSE;DRIP_INTENSIVE,ALL,GENERAL;SC;ST;OBC,Digital platform for farmer advisory using AI and data analytics. Multilingual support. Crop planning and weather alerts. Rs 2817 crore budget.,0,0,https://agricoop.nic.in,https://agricoop.nic.in,2025-01,,ALL,,,INFRASTRUCTURE
