state,season,crop_name,sub_region,pest_or_disease_name,type,monitor_start_month,monitor_end_month,chemical_control,bio_control,threshold_note
Andaman and Nicobar Islands,kharif,Rice,,neem-based formulations,pest,,,"neem-based formulations @ 0.5% or 5 ml/L, 2-3 times",,Use neem-based formulations for pest control
Andaman and Nicobar Islands,kharif,Coconut,,rhinoceros beetle,pest,,,,pheromone or bio-traps,Place naphthalene balls (10 g/palm) in leaf axils
Andaman and Nicobar Islands,kharif,Coconut,,"bud rot, stem bleeding",disease,,,1% Bordeaux mixture spray,,Improve drainage conditions
Andaman and Nicobar Islands,kharif,Arecanut,,"fruit borer, whiteflies, sucking pests",pest,,,neem oil @ 5 ml/L,pheromone and sticky traps,Monitor regularly
Andaman and Nicobar Islands,kharif,Arecanut,,fungal diseases,disease,,,copper oxychloride as per symptoms,,Ensure proper drainage
Andaman and Nicobar Islands,kharif,Black Pepper,,foliar diseases,disease,,,1% Bordeaux mixture and neem oil @ 5 ml/L,Trichoderma and Pseudomonas fluorescens (bio-control agents),
Andaman and Nicobar Islands,kharif,Sweet Potato,,sweet potato weevil,pest,,,,pheromone traps (one trap/100 m² area),
Andaman and Nicobar Islands,kharif,Elephant Foot Yam,,common pests and diseases,pest,,,neem-based products and Trichoderma formulations,,
Andaman and Nicobar Islands,kharif,Elephant Foot Yam,,common pests and diseases,disease,,,neem-based products and Trichoderma formulations,,
Andaman and Nicobar Islands,kharif,Taro,,rhizome rot,disease,,,,Trichoderma for seed treatment,
Andhra Pradesh,kharif,paddy,,Brown Plant Hopper,pest,,,,,BPH infestation-prone varieties listed; various chemical controls implied
Andhra Pradesh,kharif,paddy,,False smut,disease,,,"Propiconazole 200 ml per acre twice at booting and 50% panicle emergence, or tebuconazole + trioxystrobin 75 WG 80 g per acre at severe incidence",,
Andhra Pradesh,kharif,paddy,,Bacterial leaf blight,disease,,,,,"Destroy affected stubbles, judicious nitrogen use, avoid seedling tip clipping and flooded/drying conditions during flowering"
Andhra Pradesh,kharif,maize,,fall army worm,pest,6,8,"Imidacloprid 17.8 SL 0.3 ml/l at ETL, emamectin benzoate 5SG 0.4 g/l (21-28 DAS), flubendiamide 480SC 0.3 ml/l (36-42 DAS), chlorantraniliprole or spinetoram 0.3 ml/l, thiodicarb 75WP baiting at 45-65 DAS","EPN or Bt spray 2 ml/l (15-21 DAS), Metarhizium anisopliae spray 2 ml/l (30-35 DAS)","Summer ploughing, destruction of eggs, pheromone traps, intercropping with cowpea recommended"
Andhra Pradesh,kharif,maize,,sucking and leaf eating pests,pest,,,"Imidacloprid 0.3 ml/l water at ETL, quinalphos 2 ml/L and neem oil 5 ml/L at initial and later stages, emamectin benzoate 0.4 g/l water",,
Andhra Pradesh,kharif,maize,,Tikka leaf spot,disease,,,Chlorothalonil 2 g/l or Hexaconazole 2 ml/l or Tebuconazole 1 ml/l water spray twice at 15 day interval,,
Arunachal Pradesh,kharif,Rice,,Stem borer,pest,,,,Release of Trichogramma @ 50000/ha 4 times,Clipping of leaf tips at transplanting to remove egg masses
Arunachal Pradesh,kharif,Finger millet,,Stem borer,pest,,,Spraying 5% Neem Seed Kernel Extract or Azadirachtin 1500 ppm @ 5ml/liter,,
Arunachal Pradesh,kharif,Finger millet,,Fall Army Worm,pest,,,,FAW pheromone traps @ 12 nos/ha,
Arunachal Pradesh,kharif,Pumpkin,,Fruit fly,pest,,,Spraying 5% Neem Seed Kernel Extract or Azadirachtin 1500 ppm @ 5ml/liter,Soil application of neem cake @ 100 kg/acre immediately after germination and at flowering,
Arunachal Pradesh,kharif,Pumpkin,,Blast,disease,,,Spray carbendazim @ 0.1% or tricyclazole @ 0.05%,,
Arunachal Pradesh,kharif,Pumpkin,,Rust,disease,,,Spray mancozeb @ 0.2%,,
Arunachal Pradesh,kharif,Black gram,,Yellow mosaic virus,disease,,,Spraying 5% Neem Seed Kernel Extract or Azadirachtin 1500 ppm @ 5ml/liter,,Use yellow sticky traps (5 per acre) to trap whiteflies
Arunachal Pradesh,kharif,Black gram,,Leaf spot,disease,,,Spray copper oxychloride @ 0.3% (1.8-2.0 kg/ha in 600-700 liters water) at 7-10 day intervals,,
Arunachal Pradesh,kharif,Tomato,,Early blight and other pathogens,disease,,,,Seed treatment with Trichoderma viride @ 5 g/100 g seed,
Arunachal Pradesh,kharif,Tomato,,Various pests (moths),pest,,,,Install pheromone traps @ 5/acre; replace lures every 2-3 weeks; garlic chilli extract spray in the evening,
Arunachal Pradesh,kharif,King chilly,,White fly,pest,,,"Spray neem oil 1500 ppm; if infestation above ETL, spray Buprofezin @ 1 ml/l weekly",,
Arunachal Pradesh,kharif,Ginger/Turmeric,,Rhizome rot,disease,,,Spray copper oxychloride @ 0.25%,"Spray neem based formulation 3-5 ml/l, Bacillus thuringiensis @ 2 g/l, Metarhizium anisopliae @ 5 ml/l",
Assam,kharif,king chilly,,white fly,pest,,,Buprofezin @ 1 ml/l weekly if infestation above ETL,neem oil spray (1500 ppm),spray neem oil during initial stage; apply Buprofezin if above ETL
Assam,kharif,sali rice,,rice stem borer,pest,,,ipronil 5SC @ 1.5-2 ml/l water spray,,
Assam,kharif,sali rice,,whorl maggot,pest,,,ipronil 5SC @ 1.5-2 ml/l water spray,,
Assam,kharif,sali rice,,gall midge,pest,,,ipronil 5SC @ 1.5-2 ml/l water spray,,
Assam,kharif,sali rice,,leaf folder,pest,,,ipronil 5SC @ 1.5-2 ml/l water spray,,
Assam,kharif,sali rice,,thrips,pest,,,imidacloprid 70 WG @ 0.3 g/l water or thiamethoxam 25 WG @ 0.03 g/l water,,
Assam,kharif,sali rice,,plant hopper,pest,,,imidacloprid 70 WG @ 0.3 g/l water or thiamethoxam 25 WG @ 0.03 g/l water,,
Assam,kharif,sali rice,,rice hispa,pest,,,lambda-cyhalothrin 5 EC @ 12.5 g/ha,,
Assam,kharif,sali rice,,rice blast,disease,,,hexaconazole 5 EC @ 2 g/l water at tillering; two more sprays of ediphenphos @ 1 ml/l at panicle initiation and early panicle emergence,,
Assam,kharif,pests of maize,,stem borer,pest,,,ipronil 5 SC @ 1.0 kg/ha in 200-250 liters water,,
Assam,kharif,maize,,fall army worm,pest,,,emamectin benzoate 3% WG + thiamethoxam 12% WG @ 0.1% followed by chlorantraniliprole 18.5% SC @ 0.025% at 7 days interval,,
Assam,kharif,blackgram,,leaf spot,disease,,,copper oxychloride @ 0.3% (1.8-2.0 kg/ha) every 7-10 days,,
Assam,kharif,blackgram,,web blight,disease,,,tebuconazole 25 EC @ 0.1% every 10-15 days x 3 times starting at disease appearance,,
Assam,kharif,blackgram,,"aphids, jassids, flea beetle, pod borers, pod bugs, leaf folder",pest,,,chlorantraniliprole 18.5 SC @ 20 g a.i./ha in 500-700 liters water,,
