state,season,crop_name,sub_region,variety_names,variety_type,duration_type,purpose
Andaman and Nicobar Islands,kharif,Rice,,"Dweep Dhan 1, Dweep Dhan 2, Dweep Dhan 3, Dweep Dhan 6, Dweep Dhan 7, Jaya, ANR-47, Gayatri",HYV,medium,
Andaman and Nicobar Islands,kharif,Rice,,"Dweep Dhan 4, Dweep Dhan 5, ANR 40",HYV,long,
Andaman and Nicobar Islands,kharif,Coconut,,"Andaman Ordinary Tall, Katchal Tall, Dweep Annapurna, Dweep Harita, Dweep Sona",variety,,high-yielding
Andaman and Nicobar Islands,kharif,Arecanut,,"Samrudhi, Mangala",variety,,
Andaman and Nicobar Islands,kharif,Sweet Potato,,"CIARI Swarna, CIARI Aparna, Bhu Sona",variety,,
Andaman and Nicobar Islands,kharif,Cassava,,"Sree Vijaya, Sree Jaya",variety,,
Andaman and Nicobar Islands,kharif,Elephant Foot Yam,,Gajendra,variety,,
Andaman and Nicobar Islands,kharif,Taro,,"Mega Taro-2, Sree Kiran, Sree Pallavi, Sree Rashmi",variety,,
Andaman and Nicobar Islands,kharif,Dioscorea,,Nicobari Alu,variety,,traditional
Andaman and Nicobar Islands,kharif,Cinnamon,,,,,
Andhra Pradesh,kharif,paddy,Godavari Zone,"Swarna, Indra, Amara, Bhima, Pushyami, Ksheera, Sravani, Maruteru Samba, Masoori, MTU 1212, 1280, 1281, 1293, 1310, 1321, 1318, 1232",HYV,late,
Andhra Pradesh,kharif,paddy,North Coastal Zone,"Pushkala, Srisatya, Cotton Dora Sannalu, Tarangini, Nellore Masoori, Nellore Dhanyarashi, NLR Rice 3238",HYV,,
Andhra Pradesh,kharif,maize,,"Normal hybrids, sweetcorn, popcorn, baby corn",hybrid,,
Andhra Pradesh,kharif,groundnut,,"TCGS 1694, K-Chitravathi, K-Lepakshi",variety,,
Arunachal Pradesh,kharif,Rice,,"RCM-13, RCM-15, RCM-16, Ranjit Sub 1, Gitesh, Luit, Disang, Numoli",HYV,,
Arunachal Pradesh,kharif,Finger millet,,"Kakhi, Hinnai, Chasa, Chalay, VL-379, VL-380, VL-352",variety,,
Arunachal Pradesh,kharif,Maize,,"Megha Maize-1, Megha Maize-2, Ganga 5, Vivek Maize Hybrid 47, Vivek Maize Hybrid 53",hybrid,,
Arunachal Pradesh,kharif,Pumpkin,,"Arka Suryamukhi, Arka Chandan, selected local cultivars",variety,,
Arunachal Pradesh,kharif,Black gram,,"SBC 40, SBC 47, AAU SHN Urd 02 (Lakhi)",variety,,
Arunachal Pradesh,kharif,Sesame,,"ST 1683, Punjab Til-1, AST-1",variety,,
Arunachal Pradesh,kharif,Tomato,,"Arka Raksak, Arka Abhed, Arka Samrat",variety,,
Arunachal Pradesh,kharif,Brinjal,,"Pusa Purple Cluster, Borbengena, JC-1, Kuchia, BWR-34, Pusa Purple Round, Pusa Vairab, BWR-12",variety,,
Assam,kharif,brinjal,,"Pusa Purple Cluster, Borbengena, JC-1, Kuchia, BWR-34, Pusa Purple Round, Pusa Vairab, BWR-12",variety,,
Assam,kharif,sali rice,,"AAU-TTB-Dhan 44 (Prachur), AAU-TTB-Dhan 43 (Shatabdi), AAU-TTB-Dhan 42 (Patkai), Numoli, Dholi, Shraboni, Prafulla, Gitesh, Ranjit Sub1, Bahadur Sub1, Jalashree, Jalkunwari, Luit, Kapilee, Dishang",variety,short,"semi dwarf, medium duration, submergence tolerant, late planting flood affected"
Assam,kharif,maize,,"Ganga 5, Vivek Maize Hybrid 47, Vivek Maize Hybrid 53, Bio 9544, Dhawal, Navjot",hybrid,,
Assam,kharif,sesamum,,"ST 1683, AST-1, SP 1181 (Madhavi), Gouri, Vinayak",variety,,
Assam,kharif,blackgram,,"Pant U 19, SBC 40, SBC 47, AAU SHN Urd 02 (Lakhi), PU-31, Manas, Beki (SB 27-3), Kolong (SB 25-19), Sonkush (SB 23-5)",variety,,
Bihar,kharif,Paddy,,"Swarna sub-1, Rajendra Mahsuri, Rajendra Bhagwati, Rajendra Rajshree, Rajendra Neelum, Swarna Samridhi, Sabour Deep, Sabour Sampan",HYV,long,
Bihar,kharif,Paddy,,"Rajendra Sweta, Sonam, SS-1, DRR Dhan 44, DBW-187, Swarn Shakti, BPT-5204, Arize-6444, Rupali, MTU-1001, Sabour Harshit",HYV,medium,
Bihar,kharif,Paddy,,"Sabour Ardhjal, Sahbhagi, CR Dhaan-40, Turanta, Sabour Sri, Shushk Samrat, Swarn Shreya",HYV,short,direct seeded rice (DSR)
Bihar,kharif,Maize,,"PMH-3, Orange Flint, HQPM-1, HQPM-5 (short to medium duration hybrids), HQPM-1, Rajendra Shankar Makka-3, Vivek-27 (short to medium duration hybrids), Bio 9681, All Rounder, P-3522 (long duration hybrids)",hybrid,,
Bihar,kharif,Pigeonpea/Arhar,,"UPAS-120, Bahar, Pusa9, Pusa-992, Asha (medium duration), T-21, IPA-203, C-11 (long duration), Birsa Arhar-1, Bahar, UPAS, IPA-203, Narendra Arhar-1, Narendra Arhar-2",variety,medium,
Bihar,kharif,Pigeonpea/Arhar,,"T-21, IPA-203, C-11",variety,long,
Bihar,kharif,Pigeonpea/Arhar,,"Narendra Arhar-1, Malviya Arhar (MAL-13)",variety,,drought tolerant area
Bihar,kharif,Black Gram,,"Birsa Urad-1, WBU-09, Pant U-31",variety,,
Bihar,kharif,Green Gram,,"SML-668, IPM-2,3, HUM-16",variety,,
Bihar,kharif,Horse Gram,,"Birsa Kulthi-1, Indira Kulthi-1, VLG-19",variety,,
Bihar,kharif,Groundnut,Zones IIIA and IIIB,"K-1812, K-6, Dharni, Birsa Mungfali-3, Birsa Mungfali-4, Birsa Bold, TG-37A, JL-24, ICGV-91114, ICGS-44, Girnar-2",variety,early to medium,
Bihar,kharif,Niger,,"Birsa Niger-1, Birsa Niger-3",variety,,
Bihar,kharif,Sesame,,"RT-351, Krishna, Kanke Safed, Shekhar",variety,,
Bihar,kharif,Soybean,,"Birsa Safed Soyabean-2, JS-2098",variety,,
Bihar,kharif,Sunflower,,DCS-107,variety,,
Chhattisgarh,kharif,Rice,,"Vikram-TCR, Durgeshwari, Chhattisgarh Sugandhit Bhog, Indira Aerobic-1, CG-1919, MTU-1318, CG Devbhog",HYV,,
Chhattisgarh,kharif,Maize,,"Vivek Hy-17, Vivek Hy-43, Pusa Vivek QPM-9, VLQPM-45, Hybrid Maize-1, HQPM-1, Vivek Makka Hy-51, Pusa HM-4, DMRH-1308, IMH 230, IMH 231",hybrid,,
Chhattisgarh,kharif,Kodo Millet,,"J.K.-41, J.K.-48, G.P.U.K.-3, Indira Kodo-1, Chhattisgarh Kodo-2",variety,,
Chhattisgarh,kharif,Ragi Millet,,"P.R.-202(Godavari), V.L.-149, B.R.-708(Champavati), GPU-28, Indira Ragi-1, Chhattisgarh Ragi-2",variety,,
Chhattisgarh,kharif,Kutki Millet,,"J.K.-8, B.G.-1, Chhattisgarh Kutki-1, Chhattisgarh Kutki-2",variety,,
Chhattisgarh,kharif,Pigeon Pea,,"ICPL-88039, Pusa Arhar 16, Asha, Rajeev Lochan, LRG-41, Chhattisgarh Arhar-1, Chhattisgarh-2, TJT-501",variety,early,
Chhattisgarh,kharif,Pigeon Pea,,"Asha, Rajeev Lochan",variety,medium,
Chhattisgarh,kharif,Blackgram,,"Indira Urd Pratam, KU 96-3, RBU-38",variety,,
Chhattisgarh,kharif,Green Gram,,"IPM 410-3 (Shikha), IPM 205-7 (Virat), HUM-16",variety,,
Chhattisgarh,kharif,Soybean,,"JS 20-69, RVS 2002-4, JS 20-98, JS 20-116, Indore Soya 142, NRC 150, NRC 152, JS 2172, RVSM 2011-35, Indore Soya 130",variety,,
Chhattisgarh,kharif,Onion,,"Agrifound Dark Red, Pusa Ridhi, N-53, Bhima Super, Bhima Raj, Bhima Dark Red",variety,,
Chhattisgarh,kharif,Garlic,,"G-1, G-41, G-50, G-282",variety,,
Goa,kharif,paddy,,,,,
Goa,kharif,mango,,,,,
Goa,kharif,banana,,,,,
Goa,kharif,cashew,,,,,
Goa,kharif,arecanut,,,,,
Goa,kharif,coconut,,,,,
Gujarat,kharif,Groundnut,South Saurashtra,"GJG-22, GG-20, Girnar-4, GJG-32, GJG-17, KDG-128",variety,,
Gujarat,kharif,Soybean,,"JS 335, GJS-3, GS-4",variety,,
Gujarat,kharif,Cotton,,"G. Cot. Hy. 24, G. Cot. Hy. 26, GADC-3, GADC-4, GCHH 245, GCHH 177, RCH 2 BG-II, JKCH 1947",hybrid,,
Gujarat,kharif,Sugarcane,,"Co 2005, Co 5071, Co 0238, GNS-10/11/12",variety,,
