practice_code,component,cost_type,min_inr_per_acre,max_inr_per_acre,notes
OPEN_FIELD,Land Preparation,CAPEX,2000,6000,Ploughing/harrowing/bed prep; varies by soil and machinery.
OPEN_FIELD,Seeds & Sowing,CAPEX,2500,9000,Seed rate depends on crop (wheat/maize/pulses/oilseeds).
OPEN_FIELD,Basic Irrigation Setup,CAPEX,0,15000,0 if rainfed canal access; else pipes/sprinkler/basic setup.
OPEN_FIELD,Soil Testing & Amendments,CAPEX,500,3000,Soil test + lime/gypsum/organic matter if needed.
OPEN_FIELD,Fertilizers,OPEX,3000,9000,Per season; depends on crop and soil fertility.
OPEN_FIELD,Pesticides/Weedicides,OPEX,1500,6000,Per season; varies with pest pressure.
OPEN_FIELD,Labour,OPEX,3000,9000,Per season; sowing, weeding, harvest.
OPEN_FIELD,Harvesting/Threshing,OPEX,2000,7000,Machine hire or labour; crop dependent.
OPEN_FIELD,Transport/Marketing,OPEX,1000,5000,Mandi transport, grading, commissions (approx).

OPEN_FIELD_VEG,Land Preparation & Beds,CAPEX,3000,9000,Ridges/raised beds; higher prep than cereals.
OPEN_FIELD_VEG,Seedlings/Transplanting,CAPEX,4000,15000,Nursery seedlings + transplant labour.
OPEN_FIELD_VEG,Irrigation Setup,CAPEX,5000,20000,Pump/pipes; drip optional but beneficial.
OPEN_FIELD_VEG,Drip + Mulch (Optional Upgrade),CAPEX,8000,30000,Improves water efficiency + weed control (not mandatory).
OPEN_FIELD_VEG,Fertilizers & Manure,OPEX,8000,22000,Per crop cycle; vegetables are input intensive.
OPEN_FIELD_VEG,Plant Protection,OPEX,5000,20000,High variability; IPM reduces cost.
OPEN_FIELD_VEG,Labour (Frequent Operations),OPEX,9000,30000,Picking/harvesting multiple rounds.
OPEN_FIELD_VEG,Staking/Trellis (Crop-dependent),OPEX,2000,12000,Required for gourds/tomato in many cases.
OPEN_FIELD_VEG,Harvest + Packaging,OPEX,3000,15000,Crates, grading, packaging materials.
OPEN_FIELD_VEG,Transport/Cold-chain Access,OPEX,2000,12000,Higher for perishables; depends on market distance.

RAIN_FED,Land Preparation,CAPEX,1500,6000,Minimal tillage/one plough; moisture conservation important.
RAIN_FED,Seeds & Sowing,CAPEX,1500,5000,Prefer drought-tolerant varieties.
RAIN_FED,Moisture Conservation Measures,CAPEX,500,4000,Residue mulch, contour bunding (if applicable).
RAIN_FED,Fertilizers (Minimal),OPEX,1500,5000,Often low input; may use FYM/limited fertilizers.
RAIN_FED,Weed & Pest Control,OPEX,800,3500,Lower than irrigated; depends on season.
RAIN_FED,Labour,OPEX,1200,4500,Mostly family labour + limited hired labour.
RAIN_FED,Harvest/Threshing,OPEX,1500,6000,Crop dependent; machine hire possible.

DRIP_INTENSIVE,Drip System + Filters,CAPEX,12000,35000,Mainline/submain/filters/emitters; per acre basis.
DRIP_INTENSIVE,Fertigation Unit,CAPEX,4000,15000,Venturi or tank + basic dosing.
DRIP_INTENSIVE,Water Storage (Optional),CAPEX,0,12000,Tank/lining if intermittent supply.
DRIP_INTENSIVE,Land Prep & Beds,CAPEX,3000,9000,Depends on crop; more for vegetables.
DRIP_INTENSIVE,Planting Material,CAPEX,3000,15000,Seeds/seedlings depending on crop.
DRIP_INTENSIVE,Fertilizers/Nutrients,OPEX,7000,22000,Often higher efficiency; cost depends on crop.
DRIP_INTENSIVE,Plant Protection,OPEX,3000,15000,Depends on crop; drip reduces some disease pressure.
DRIP_INTENSIVE,Labour,OPEX,5000,18000,Operation/maintenance + harvesting.
DRIP_INTENSIVE,Maintenance & Repairs,OPEX,800,4000,Flushing/filters/line repairs per season.

NET_HOUSE,Structure (Shade Net + Frame),CAPEX,30000,80000,Depends on specification and durability.
NET_HOUSE,Drip Irrigation (Recommended),CAPEX,8000,20000,Improves uniformity and water efficiency.
NET_HOUSE,Bed Prep & Media (If used),CAPEX,3000,12000,Raised beds/media depends on crop.
NET_HOUSE,Seeds/Seedlings,OPEX,5000,15000,Per cycle; quality planting material.
NET_HOUSE,Fertilizers/Nutrients,OPEX,8000,20000,Per cycle; moderate-high depending on crop.
NET_HOUSE,Plant Protection,OPEX,4000,15000,Lower than open-field for some pests; still required.
NET_HOUSE,Labour,OPEX,7000,20000,Per cycle; training/harvest.
NET_HOUSE,Packaging/Marketing,OPEX,2000,12000,Depends on perishability and market distance.

POLYHOUSE,Structure (Frame + Poly Film),CAPEX,90000,250000,Major CAPEX; depends on quality and height.
POLYHOUSE,Drip + Fertigation System,CAPEX,20000,60000,Required for precision irrigation and feeding.
POLYHOUSE,Insect Netting & Ventilation,CAPEX,8000,30000,Side nets, vents; reduces pest entry.
POLYHOUSE,Growing Media/Bed Setup,CAPEX,8000,35000,Cocopeat/substrate/raised beds; crop-dependent.
POLYHOUSE,Nursery/Seedlings,OPEX,8000,20000,Per cycle; high quality hybrids.
POLYHOUSE,Nutrients & Fertilizers,OPEX,12000,35000,Per cycle; fertigation driven.
