practice_code,requirement_code,requirement_level
OPEN_FIELD,BASIC_TOOLS,REQUIRED
OPEN_FIELD,SEED_SUPPLY,REQUIRED
OPEN_FIELD,SOIL_TESTING,RECOMMENDED
OPEN_FIELD,IRRIGATION_PUMP,OPTIONAL
OPEN_FIELD,DRIP_IRRIGATION,OPTIONAL
OPEN_FIELD,STORAGE_SPACE,OPTIONAL
OPEN_FIELD,TRAFFICABLE_FARM_ROAD,RECOMMENDED

OPEN_FIELD_VEG,BASIC_TOOLS,REQUIRED
OPEN_FIELD_VEG,QUALITY_SEEDLING_SUPPLY,REQUIRED
OPEN_FIELD_VEG,IRRIGATION_PUMP,REQUIRED
OPEN_FIELD_VEG,DRIP_IRRIGATION,RECOMMENDED
OPEN_FIELD_VEG,MULCHING_PLASTIC,RECOMMENDED
OPEN_FIELD_VEG,SPRAYER_EQUIPMENT,REQUIRED
OPEN_FIELD_VEG,INSECT_NETS,OPTIONAL
OPEN_FIELD_VEG,PACKING_CRATES,RECOMMENDED
OPEN_FIELD_VEG,ON_FARM_GRADING_AREA,RECOMMENDED
OPEN_FIELD_VEG,COLD_STORAGE_ACCESS,OPTIONAL

RAIN_FED,BASIC_TOOLS,REQUIRED
RAIN_FED,SEED_SUPPLY,REQUIRED
RAIN_FED,SOIL_MOISTURE_CONSERVATION,REQUIRED
RAIN_FED,FARM_POND,OPTIONAL
RAIN_FED,WATER_HARVESTING_STRUCTURES,RECOMMENDED
RAIN_FED,DROUGHT_TOLERANT_VARIETIES,REQUIRED
RAIN_FED,MULCHING_OR_RESIDUE,RECOMMENDED
RAIN_FED,CONTOUR_BUNDING,OPTIONAL

DRIP_INTENSIVE,IRRIGATION_SOURCE,REQUIRED
DRIP_INTENSIVE,DRIP_IRRIGATION,REQUIRED
DRIP_INTENSIVE,FERTIGATION_UNIT,RECOMMENDED
DRIP_INTENSIVE,WATER_FILTER_UNIT,REQUIRED
DRIP_INTENSIVE,IRRIGATION_PUMP,REQUIRED
DRIP_INTENSIVE,WATER_STORAGE_TANK,RECOMMENDED
DRIP_INTENSIVE,SOIL_TESTING,RECOMMENDED
DRIP_INTENSIVE,SPRAYER_EQUIPMENT,RECOMMENDED

NET_HOUSE,SHADE_NET_STRUCTURE,REQUIRED
NET_HOUSE,IRRIGATION_SOURCE,REQUIRED
NET_HOUSE,DRIP_IRRIGATION,RECOMMENDED
NET_HOUSE,SPRAYER_EQUIPMENT,REQUIRED
NET_HOUSE,INSECT_NETS,RECOMMENDED
NET_HOUSE,FERTIGATION_UNIT,OPTIONAL
NET_HOUSE,RAISED_BEDS,RECOMMENDED
NET_HOUSE,PACKING_CRATES,RECOMMENDED

POLYHOUSE,POLYHOUSE_STRUCTURE,REQUIRED
POLYHOUSE,IRRIGATION_SOURCE,REQUIRED
POLYHOUSE,DRIP_IRRIGATION,REQUIRED
POLYHOUSE,FERTIGATION_UNIT,REQUIRED
POLYHOUSE,WATER_FILTER_UNIT,REQUIRED
POLYHOUSE,CLIMATE_CONTROL_VENTILATION,REQUIRED
POLYHOUSE,INSECT_NETS,REQUIRED
POLYHOUSE,NURSERY_TRAYS,RECOMMENDED
POLYHOUSE,COCOPEAT_OR_MEDIA,RECOMMENDED
POLYHOUSE,COLD_STORAGE_ACCESS,OPTIONAL
POLYHOUSE,POWER_BACKUP,RECOMMENDED

HYDROPONICS,GROW_RACKS_OR_CHANNELS,REQUIRED
HYDROPONICS,WATER_RECIRCULATION_SYSTEM,REQUIRED
HYDROPONICS,NUTRIENT_TANKS,REQUIRED
HYDROPONICS,PH_EC_METER,REQUIRED
HYDROPONICS,WATER_FILTER_UNIT,REQUIRED
