crop_id,practice_code,compatibility,compatibility_score,role_hint,rationale
FR_MANGO,ORCHARD,GOOD,1.0,PRIMARY,Classic perennial orchard crop; best fit with orchard systems.
FR_MANGO,ORCHARD_INTERCROP,GOOD,1.0,PRIMARY,Mango orchards commonly support intercrops in early years for cashflow.
FR_MANGO,DRIP_INTENSIVE,MED,0.6,PRIMARY,Drip improves water efficiency and fruit quality; depends on orchard setup.

FR_GUAVA,ORCHARD,GOOD,1.0,PRIMARY,Early-bearing orchard fruit; suitable for horticulture practice.
FR_GUAVA,ORCHARD_INTERCROP,GOOD,1.0,PRIMARY,Guava plantations can support intercrops in initial years.
FR_GUAVA,DRIP_INTENSIVE,MED,0.6,PRIMARY,Water-efficient drip improves productivity; requires infrastructure.

FR_POMEGRANATE,ORCHARD,GOOD,1.0,PRIMARY,Strong fit with semi-arid horticulture under drip.
FR_POMEGRANATE,ORCHARD_INTERCROP,GOOD,1.0,PRIMARY,Intercrops possible in young orchards before canopy closes.
FR_POMEGRANATE,DRIP_INTENSIVE,GOOD,1.0,PRIMARY,Highly compatible due to water efficiency + fertigation benefits.

FR_LEMON,ORCHARD,GOOD,1.0,PRIMARY,Citrus orchard crop; fits perennial horticulture model.
FR_LEMON,ORCHARD_INTERCROP,GOOD,1.0,PRIMARY,Intercrops possible in early years; steady orchard planning.
FR_LEMON,DRIP_INTENSIVE,MED,0.6,PRIMARY,Drip beneficial but orchard management is primary driver.

FR_ACID_LIME,ORCHARD,GOOD,1.0,PRIMARY,Acid lime fits orchard horticulture systems well.
FR_ACID_LIME,ORCHARD_INTERCROP,GOOD,1.0,PRIMARY,Intercrops possible in young orchards.
FR_ACID_LIME,DRIP_INTENSIVE,MED,0.6,PRIMARY,Drip helps water efficiency and fruit quality.

FR_DRAGONFRUIT,ORCHARD,GOOD,1.0,PRIMARY,Perennial high-value fruit grown with trellis pillars; orchard-like system.
FR_DRAGONFRUIT,DRIP_INTENSIVE,GOOD,1.0,PRIMARY,Very compatible—drip is commonly used for efficient irrigation.
FR_DRAGONFRUIT,ORCHARD_INTERCROP,MED,0.6,PRIMARY,Intercrops possible early but trellis footprint may limit space.

FR_BANANA,OPEN_FIELD,GOOD,1.0,PRIMARY,Commercial banana plantations are typically open-field with assured irrigation.
FR_BANANA,DRIP_INTENSIVE,GOOD,1.0,PRIMARY,Drip is highly beneficial for banana (water + fertigation efficiency).
FR_BANANA,INTEGRATED,MED,0.6,PRIMARY,Can be included in diversified integrated systems as a high-value component.

FR_PAPAYA,OPEN_FIELD,GOOD,1.0,PRIMARY,Papaya grown as open-field plantation/field fruit.
FR_PAPAYA,DRIP_INTENSIVE,MED,0.6,PRIMARY,Drip supports uniform growth and fruiting; improves water efficiency.
FR_PAPAYA,INTEGRATED,MED,0.6,PRIMARY,Works as a component crop in diversified systems.

FR_AMLA,ORCHARD,GOOD,1.0,PRIMARY,Hardy low-water perennial orchard; long-term horticulture fit.
FR_AMLA,AGROFORESTRY,MED,0.6,PRIMARY,Fits agroforestry as perennial hardy tree with intercrop options.
FR_AMLA,ORCHARD_INTERCROP,MED,0.6,PRIMARY,Intercrops feasible early; depends on spacing and canopy.

FR_BER,ORCHARD,GOOD,1.0,PRIMARY,Very hardy orchard fruit suited to dry belts.
FR_BER,AGROFORESTRY,GOOD,1.0,PRIMARY,Excellent agroforestry tree option in arid/semi-arid systems.
FR_BER,ORCHARD_INTERCROP,MED,0.6,PRIMARY,Intercrops possible in young plantations.

FR_LITCHI,ORCHARD,GOOD,1.0,PRIMARY,Perennial fruit requiring humid subtropical conditions and management.
FR_LITCHI,DRIP_INTENSIVE,MED,0.6,PRIMARY,Drip can help but suitability depends heavily on climate and humidity.
FR_LITCHI,ORCHARD_INTERCROP,MED,0.6,PRIMARY,Intercrops feasible early; orchard maturity takes time.

