state,season,crop_name,sub_region,N_kg_ha,P_kg_ha,K_kg_ha,FYM_t_ha,zinc_sulphate_kg_ha,other_micronutrients,biofertilizers,split_schedule,application_notes
Andaman and Nicobar Islands,kharif,Rice,,,,,2.6,,,Azospirillum @ 2 kg/1000 m² in nursery,,FYM or vermicompost applied in nursery and main field; root dipping with Jeevamrit @ 50 ml/L before transplanting
Andaman and Nicobar Islands,kharif,Black Pepper,,,,,,,neem cake 0.5,Azospirillum and phosphorus-solubilizing bacteria 20 g each per vine,,"Apply 10 kg FYM, 0.5 kg neem cake, 0.5 kg wood ash, 2 kg vermicompost per vine annually"
Andaman and Nicobar Islands,kharif,Sweet Potato,,,,,10,,neem cake 100 kg/ha,Azospirillum and PSB,,Use FYM @10 t/ha; neem cake @100 kg/ha and vermicompost @5 t/ha
Andaman and Nicobar Islands,kharif,Elephant Foot Yam,,,,,,,,Azospirillum and phosphate-solubilizing bacteria,,Apply compost 10-15 t/ha; neem cake 2 t/ha; vermicompost 5 t/ha
Andaman and Nicobar Islands,kharif,Cinnamon,,,,,,,,,,Apply compost 20-25 t/ha
Andaman and Nicobar Islands,kharif,Turmeric,,,,,0.01,,,,,Apply 10 kg FYM/plant/year
Andaman and Nicobar Islands,kharif,Ginger,,,,,0.01,,,,,Apply 10 kg FYM/plant/year
Andhra Pradesh,kharif,paddy,,,,,,,,,Entire phosphorus dose at final puddling; potash full dose at final puddling in heavy soils or half at puddling and half at panicle initiation in light soils,Grow green manure crops as preceding crop
Andhra Pradesh,kharif,paddy,,,,,,,,,,Apply potassium @ 15 kg/acre at planting and 20 kg/acre at panicle initiation for bacterial leaf blight areas
Arunachal Pradesh,kharif,Rice,,40,20,20,10,,,,,"Green manuring dhaincha sown in May, incorporated 10-15 days before transplanting"
Arunachal Pradesh,kharif,Finger millet,,60,40,40,10,,,,,Compost or FYM @10 t/ha
Arunachal Pradesh,kharif,Maize,,40,20,20,5,,,,Entire P2O5 and half N at sowing; remaining half N at 30 days after sowing,FYM or compost 5-10 t/ha applied about a month before sowing
Arunachal Pradesh,kharif,Pumpkin,,75,80,80,20,,{'CaO_kg_ha': 30},,,Basal application; neem cake soil application for fruit fly control
Arunachal Pradesh,kharif,Black gram,,15,35,15,1,,,"{'Trichoderma_viride': {'seed_treatment_g_per_kg_seed': 4, 'soil_application_kg_ha': 2.5}}",,Neem cake and FYM applied; one weeding at 20-25 days after sowing
Arunachal Pradesh,kharif,Sesame,,30,20,20,10,,,,,Farmyard manure @100 kg/ha and neem cake @250 kg/ha applied
