state,season,crop_name,sub_region,N_kg_ha,P_kg_ha,K_kg_ha,FYM_t_ha,zinc_sulphate_kg_ha,other_micronutrients,biofertilizers,split_schedule,application_notes
Punjab,rabi,wheat,,201,123,,,,,Azotobacter and Streptomyces consortium or Azo-S,"half basal at sowing, half top-dress at first and second irrigation",90 kg urea and 55 kg DAP per acre; potassium only to deficient soils
Punjab,rabi,rapeseed and mustard,,120,100,,,,,,,"90 kg urea and 75 kg SSP per acre for Raya, Gobhi Sarson and African Sarson; 55 kg urea and 50 kg SSP per acre for Toria"
Punjab,rabi,sugarcane,,,,,,,,,,Apply 130 kg urea per acre for plant crop and 195 kg urea per acre for ratoon crop; ferrous sulphate foliar spray for iron deficiency
Punjab,rabi,berseem,,,,,,,Manganese sulphate foliar spray,Rhizobium culture,,
Punjab,rabi,pea,,18,11,,8,,,Rhizobium leguminosarum,,"8 tonnes FYM, 20 kg N, 25 kg P2O5 per acre before sowing"
Punjab,rabi,potato,,165,155,40,20,,,,All P and K and half N at sowing; remaining half N at earthing-up,Apply FYM or green manuring with recommended NPK doses
Punjab,rabi,chilli,,25,12,12,,,,,Whole P and K with half N at transplanting; remaining N top dressed after first picking,Well-rotten FYM or paddy straw compost recommended; 30 kg N per acre for hybrids
Punjab,rabi,cauliflower,,110,155,40,40,,,,"Apply FYM, full P and K and half N before transplanting; remaining N top-dressed 4 weeks after transplanting",
Ladakh,rabi,leafy vegetables,,,,,5,,,,,Vermi compost should be added before sowing/transplanting
Ladakh,rabi,cole crops,,,,,7,,,,,Vermi compost should be added before sowing/transplanting
Uttarakhand,rabi,wheat,irrigated timely sown,150,60,40,10,,,,,FYM applied 3-4 weeks before expected bloom under tree canopy away from trunk; applied when soil moisture present or before rainfall
Uttarakhand,rabi,wheat,late sown irrigated,80,40,30,10,,,,,FYM applied 3-4 weeks before expected bloom under tree canopy away from trunk; applied when soil moisture present or before rainfall
Uttarakhand,rabi,wheat,,150,60,40,10,,,,,"150 N, 60 P, 40 K for timely sown; 80 N, 40 P, 30 K for late sown"
Uttarakhand,rabi,gram,,20,42.5,25,,,,,,
Uttarakhand,rabi,barley,,,,,10,,,,,
Uttarakhand,rabi,lentil,,,45,25,,,,,,
Uttarakhand,rabi,yellow mustard/toria,,120,40,40,,30,,,,"For mustard 90 N, 40 P, 20 K and 30 Sulphur"
Uttarakhand,rabi,pea,,20,60,40,,,,,,
Uttarakhand,rabi,onion,,100,60,80,25,,,,,
Uttarakhand,rabi,potato,,180,80,80,23,,,,,
Uttarakhand,rabi,apple,lower hilly and hill area,,,,0.1,,,,Complete potash and phosphorus at basin prep with FYM during Dec-Jan,
Rajasthan,rabi,Mustard,,85,40,,9,,Sulphur 40 kg/ha if no soil report,,N in 2-3 split doses; P as basal,Use SSP instead of DAP.
Rajasthan,rabi,Chickpea,,20,40,,9,25,Gypsum 250 kg/ha,,,
Rajasthan,rabi,Barley,,100,40,20,9,25,,,N in 2-3 split doses; P & K as basal,
Rajasthan,rabi,Wheat,,120,60,40,9,25,,,N in 2-3 split doses; P & K as basal,
Rajasthan,rabi,Fenugreek,,20,40,,9,25,Gypsum 250 kg/ha,Rhizobium culture recommended,N in 2 split doses; P & K as basal,Seed treatment with Carbendizim 2 g/kg seed for fungal diseases.
Rajasthan,rabi,Cumin,,30,20,15,12.5,10,Sulphur microgranular mixture before sowing; top dressing Sulphur 7.5 kg/ha,Trichoderma viridae 2.5 kg/ha soil application,"N in two split doses, one before sowing one at 30-35 DAS",Seed treatment with Trichoderma viridae and carbendazim plus Imidacloprid for insects.
Haryana and Delhi,rabi,mustard,,80,30,20,,25,,Azotobacter and PSB culture inoculate seed at sowing,"Half N basal at sowing, half N top dress at first irrigation","Use SSP or if DAP used, apply 250 kg gypsum/ha at last ploughing"
Haryana and Delhi,rabi,mustard,,40,20,,,,,,,For rainfed crop
Haryana and Delhi,rabi,chickpea,,15,40,,,25,,Seed inoculation with Rhizobium and PSB culture,,Use 250 kg SSP or 80-90 kg DAP before sowing
Haryana and Delhi,rabi,wheat,,150,60,30,,25,,,"Half N with basal sowing, half N broadcast at first irrigation",Use 375 kg SSP or 125 kg DAP for phosphorus
Haryana and Delhi,rabi,wheat,,30,15,15,,25,,,,For limited irrigation crop; apply all fertilizer at sowing
