practice_code,practice_name,water_need,labour_need,risk_level,time_to_first_income_months_min,time_to_first_income_months_max,capex_min_per_acre_inr,capex_max_per_acre_inr,opex_min_per_acre_inr,opex_max_per_acre_inr,profit_potential,perishability_exposure,storage_dependency,suitable_when,not_suitable_when,source_id,source_tier
OPEN_FIELD,Open Field Farming (Cereals/Pulses/Oilseeds/Basic Veg),MED,MED,MED,3,6,10000,35000,8000,25000,MED,MED,LOW,"General farming; works for most locations with moderate inputs and basic irrigation","Extremely water-scarce areas without irrigation; very high-value market not accessible",SRC001,T1
OPEN_FIELD_VEG,Open-field Vegetables (Intensive),MED,HIGH,HIGH,2,4,20000,50000,18000,45000,HIGH,HIGH,MED,"High labour availability + nearby mandi/market access; can manage frequent harvest and pests","Low labour; no market access; high pest pressure without IPM; very low risk tolerance",SRC009,T1
RAIN_FED,Rain-fed / Dryland Farming,LOW,LOW,HIGH,3,6,5000,15000,3000,12000,LOW,LOW,LOW,"Low water availability; drought-tolerant crops; low CAPEX approach","Areas with unreliable rainfall AND no drought-tolerant crop options; farmer expects stable income",SRC005,T1
DRIP_INTENSIVE,Drip-based Intensive Farming (Water-efficient),LOW,MED,MED,3,6,20000,60000,12000,30000,HIGH,MED,MED,"Water is limited but farmer can invest in drip; suitable for high-value crops with efficient irrigation","No ability to install/maintain drip; extremely low budget",SRC010,T1
NET_HOUSE,Net House / Shade Net Cultivation,MED,MED,MED,2,4,30000,80000,15000,40000,HIGH,HIGH,MED,"Moderate budget; need pest protection + partial microclimate; works for nursery/veg/flowers","Very low budget; no irrigation; areas with strong storms without structural safety",SRC003,T1
POLYHOUSE,Polyhouse / Protected Cultivation,MED,HIGH,MED,2,4,80000,250000,30000,80000,VERY_HIGH,HIGH,MED,"High budget + skill + market proximity; premium crops; year-round production possible","Low budget; no reliable irrigation/power; weak market access; low management capacity",SRC002,T1
HYDROPONICS,Hydroponics / NFT (Controlled Environment),MED,HIGH,HIGH,1,3,150000,400000,60000,140000,VERY_HIGH,HIGH,MED,"Very high value leafy/berries; strong technical team; consistent buyers and cold-chain","Low technical capacity; unstable electricity; weak buyer network; very low risk tolerance",SRC011,T1
ORCHARD,Orchard / Horticulture (Perennial),MED,MED,MED,24,48,40000,90000,15000,35000,HIGH,MED,MED,"Long horizon; patient capital; drip/irrigation available; stable long-term plan","Short horizon (<2 years) without intercrop plan; very low budget; severe water scarcity",SRC004,T1
ORCHARD_INTERCROP,Orchard + Intercropping (Early Cashflow),MED,MED,MED,6,18,30000,80000,12000,32000,HIGH,MED,MED,"Wants orchard long-term but needs early income; supports diversification","Very short horizon (<12 months) expecting full returns; no intercrop market access",SRC007,T1
AGROFORESTRY,Agroforestry (Timber/Fruit + Intercrop),LOW,LOW,MED,18,60,15000,50000,6000,18000,MED,LOW,LOW,"Long horizon; low water; erosion control; gradual returns + resilience","Short horizon; expecting quick ROI; very small land where rotation is needed",SRC012,T2
INTEGRATED,Integrated Farming System (Crops + Livestock + Compost),MED,HIGH,MED,4,12,25000,70000,12000,35000,HIGH,MED,MED,"Diversified income; manure recycling; family labour availability; risk spreading","Very small land (<1 acre) with low labour; no livestock management ability",SRC006,T1
DAIRY_FODDER,Integrated Dairy + Fodder + Crops,MED,HIGH,MED,1,3,30000,90000,20000,50000,HIGH,LOW,LOW,"Has labour + fodder land; local milk market; wants regular cashflow","No fodder area; no milk collection access; labour shortage",SRC013,T2
POULTRY_BACKYARD,Poultry (Backyard/Semi-commercial) + Crops,LOW,MED,MED,1,2,15000,60000,12000,30000,MED,LOW,LOW,"Small land; wants quick cashflow; local demand; manageable scale","No basic biosecurity; cannot manage feed costs; strict space constraints",SRC014,T2
FISH_POND,Aquaculture / Fish Pond (where feasible),HIGH,MED,HIGH,4,8,50000,150000,25000,70000,HIGH,MED,MED,"Has water body/pond feasibility; strong local fish market; can manage pond inputs","Water scarcity; unsuitable soil/pond feasibility; no market linkage",SRC015,T2
NURSERY,Nursery / Seedling & Sapling Production (Horti),MED,MED,MED,2,4,20000,80000,15000,40000,HIGH,HIGH,MED,"Near farmer clusters; demand for seedlings/saplings; partial shade net support","No local demand; poor plant health management; no protected shade setup",SRC016,T2
MUSHROOM,Mushroom Cultivation (Indoor/Controlled),LOW,MED,MED,1,3,15000,60000,10000,30000,HIGH,HIGH,LOW,"Limited land; shaded/indoor space; good local buyers; can manage hygiene","No controlled space; no market; weak hygiene control leading to contamination",SRC008,T1
BEEKEEPING,Beekeeping (Add-on to Crops/Orchards),LOW,LOW,MED,1,2,8000,25000,3000,12000,MED,LOW,LOW,"Add-on income; works well with orchards/oilseeds; low land requirement","No forage/floral resources nearby; pesticide-heavy environment without mitigation",SRC017,T2
